,Availablility,Furnishing,Gender_requirement,Location,Max_period,Min_period,Price,Short_description,Size,Price_per_month,Average_price_per_month,Postal_code
300,Now,Furnished,Males or females,Highbury (N5),None,None,"['£810 pcm', '£790 pcm', '£950 pcm']",THREE Rooms in Stunning Highbury Garden Flat,3 doubles,"[810, 790, 950]",850.0,N5
301,Now,Furnished,Males or females,Notting Hill (W11),None,None,['£210 pw'],"Notting Hill/Portobello Road,stunning double room!",Double room,[840],840.0,W11
302,Now,Furnished,Males or females,Ravenscourt Park (W6),None,3 months,['£260 pw'],W6 0Ja __ Hammermisth __ Very Nice Double Room,Double room,[1040],1040.0,W6
303,03 Jan 2019,Furnished,Males or females,Fitzrovia (W1),None,3 months,['£265 pw'],Stunning Double Room - Fitzrovia,Double room,[1060],1060.0,W1
304,05 Jan 2019,Furnished,Males or females,Gloucester Road (SW7),None,2 months,"['£300 pw', '£245 pw']",Perfect Location - 1 Double & 1 Couple,2 doubles,"[1200, 980]",1090.0,SW7
305,01 Jan 2019,Furnished,Males or females,Forest Hill (SE23),None,6 months,['£150 pw'],Stunning Top Storey Duplex with Garden,Double room,[600],600.0,SE23
306,01 Dec 2018,Furnished,No info,Greenwich (SE10),None,6 months,"['£1,820 pcm (whole property)']",3 x Dble bedroom in Furnished Flat in Greenwich,3 bed flat,[1820],1820.0,SE10
307,Now,Furnished,Males or females,Hampstead (NW3),None,None,['£220 pw'],Hampstead Area. Huge room w private bathroom,Double room,[880],880.0,NW3
308,Now,Furnished,Males or females,London NW8 (NW8),None,6 months,['£850 pcm'],Bright double room in Swiss Cottage,Double room,[850],850.0,NW8
309,Now,No info,No info,St John's Wood (NW8),None,6 months,"['£1,350 pcm (whole property)']",Great One bedroom flat in St Johns Wood,1 bed flat,[1350],1350.0,NW8
310,Now,Furnished,Males or females,Old Oak Common (NW10),None,3 months,"['£1,050 pcm']",Wonderful Double Room Fully Furnished,Double room,[1050],1050.0,NW10
311,Now,Furnished,Males or females,Tooting Broadway (SW17),None,None,['£625 pcm'],Spaciosu Room Just Renovated Near Station,Double room,[625],625.0,SW17
312,Now,Furnished,Males or females,Old Street (EC1),None,None,['£255 pw'],Barbican. City of London.  Well present room,Double room,[1020],1020.0,EC1
313,Now,Furnished,No info,Leyton (E11),None,6 months,"['£2,480 pcm (whole property)']",5 bed house,5 bed house,[2480],2480.0,E11
314,Now,Furnished,Males or females,Mudchute (E14),None,3 months,['£875 pcm'],Amazing Double Room Available Near Mudchute,Double room,[875],875.0,E14
315,01 Dec 2018,Furnished,Males or females,Shepherds Bush (W12),None,3 months,['£235 pw'],Spacious Double - Call It Home!,Double room,[940],940.0,W12
316,04 Jan 2019,Furnished,Males or females,Highgate (N6),None,None,['£735 pcm'],Double room in leafy Highgate w/ great housemates!,Double room,[735],735.0,N6
317,14 Jan 2019,Furnished,Males or females,Shadwell (E1),None,6 months,['£160 pw'],(361.2)Nice Double room near Stepney Green Station,Single room,[640],640.0,E1
318,Now,Furnished,Males or females,London E1 (E1),None,None,"['£210 pw', '£165 pw', '£180 pw', '£155 pw']",4 Amazing Rooms in Top Location !,4 doubles,"[840, 660, 720, 620]",710.0,E1
319,06 Dec 2018,Furnished,Males or females,Edmonton (N18),None,None,['£150 pw'],Bright double room.,Double room,[600],600.0,N18
320,Now,Furnished,Males or females,Fulham (SW6),None,None,['£255 pw'],Ensuite room/Friendly flatshare - Fulham,Double room,[1020],1020.0,SW6
321,Now,Furnished,Males or females,East India (E14),None,3 months,['£780 pcm'],Spacious Double Bedroom Available Right Now,Double room,[780],780.0,E14
322,06 Dec 2018,Furnished,No info,Southfields (SW18),None,6 months,['£300 pw (whole property)'],Newly Refurbished 1 Bed Garden Flat,1 bed flat,[1200],1200.0,SW18
323,Now,Furnished,Males or females,Clapton (E5),None,None,"['£680 pcm', '£700 pcm']",Double Rooms Double Comfort- Stoke Newington,2 doubles,"[680, 700]",690.0,E5
324,Now,No info,Males or females,Caledonian Road (N7),None,None,['£830 pcm'],Spacious Double Room Refurbished Caledonian Road,Double room,[830],830.0,N7
325,16 Dec 2018,Furnished,Males or females,Whitechapel (E1),None,None,['£135 pw'],**No Deposit Required** Single Room|Prime Location,Single room,[540],540.0,E1
326,10 Jan 2019,No info,No info,Stepney Green (E1),None,12 months,['Potential Buddy Ups'],Amazing two bed schoold conversion with terrace E1,2 bed flat,[],,E1
327,Now,Furnished,Males or females,Hackney (E5),None,None,['£220 pw'],Hackney ~ Modern Double w Private Bathroom,Double room,[880],880.0,E5
328,Now,Furnished,Males or females,London N17 (N17),None,3 months,"['£150 pw', '£160 pw', '£150 pw', '£140 pw', '£110 pw']",Turnpike Lane! Last Double Room Left!,Double room,"[600, 640, 600, 560, 440]",568.0,N17
329,Now,Furnished,No info,St John's Wood (NW8),None,6 months,['£450 pw (whole property)'],1 Bed Flat - Former Church Conversion! âªâªâª,1 bed flat,[1800],1800.0,NW8
330,Now,No info,No info,St John's Wood (NW8),None,6 months,"['£1,950 pcm (whole property)']",Stunning one bedroom flat in St John's Wood,1 bed flat,[1950],1950.0,NW8
331,05 Dec 2018,Furnished,No info,London NW8 (NW8),None,6 months,"['£1,495 pcm (whole property)']",Beautiful One Bedroom Apartment in St John's Wood,1 bed flat,[1495],1495.0,NW8
332,Now,No info,Males or females,Shoreditch (N1),None,3 months,['£185 pw'],Available Now/Discount Today/Call Me/Old Street,Double room,[740],740.0,N1
333,Now,Furnished,Males or females,Ravenscourt Park (W6),None,3 months,['£270 pw'],Huge & Bright Couple Room w/Sofa!,Double room,[1080],1080.0,W6
334,17 Dec 2018,Furnished,Males or females,Dalston (E8),None,3 months,['£225 pw'],Ensuite Double Room - Hackney Central,Double room,[900],900.0,E8
335,Now,Furnished,Males or females,Canary Wharf (E14),None,None,"['£135 pw', '£145 pw', '£155 pw', '£165 pw']",4 Amazing Rooms in Canary Wharf !,4 doubles,"[540, 580, 620, 660]",600.0,E14
336,Now,Furnished,Males or females,Clerkenwell (EC1),None,3 months,"['£210 pw', '£250 pw']",Barbican-Lovely Room in Great Property,Single room,"[840, 1000]",920.0,EC1
337,01 Dec 2018,Furnished,No info,Clapham North (SW4),None,12 months,['Potential Buddy Ups'],"Top spec two bedroom flat, amazing location",2 bed flat,[],,SW4
338,Now,Furnished,Males or females,Clapham Junction (SW11),None,6 months,['£185 pw'],"Amazing huge double, 5 min Clapham Junction BR",Double room,[740],740.0,SW11
339,25 Dec 2018,Furnished,Males or females,Aldgate East (E1),None,None,['£150 pw'],Double Room Prime Location Aldgate East /Zone 1,Double room,[600],600.0,E1
340,02 Dec 2018,Furnished,Males or females,Mile End (E3),None,1 month,['£165 pw'],Very Big Double Room Just 2 Minutes From Mile End,Double room,[660],660.0,E3
341,Now,Furnished,Males or females,Wimbledon (SW19),None,6 months,"['£800 pcm', '£750 pcm', '£750 pcm']",Large Double Rooms Right By Wimbeldon Park Station,3 doubles,"[800, 750, 750]",766.6666666666666,SW19
342,Now,Furnished,Males or females,Stockwell (SW8),None,3 months,['£250 pw'],*Exclusive Ensuite in Stockwell*,Double room,[1000],1000.0,SW8
343,Now,Furnished,Males or females,Canary Wharf (E14),None,None,"['£240 pw', '£195 pw', '£240 pw']",3 Luxury Rooms Next to Canary Wharf !,3 doubles,"[960, 780, 960]",900.0,E14
344,20 Dec 2018,Furnished,Males or females,Bethnal Green (E2),None,None,"['£140 pw', '£160 pw']",Preparing your DECEMBER in London !!,2 doubles,"[560, 640]",600.0,E2
345,Now,Furnished,Males or females,Vauxhall (SW8),None,3 months,['£250 pw'],Stunning Ensuite Double Room - Wandsworth,Double room,[1000],1000.0,SW8
346,Now,Furnished,Males or females,Fitzrovia (W1),None,6 months,['£720 pcm'],Single room to rent in a Hall of Residence,Single room,[720],720.0,W1
347,Now,Furnished,Males or females,Canary Wharf (E14),None,None,"['£1,100 pcm', '£1,300 pcm', '£1,100 pcm']",Super Lucury Room in Canary Wharf with Gym,3 doubles,"[1100, 1300, 1100]",1166.6666666666667,E14
348,Now,Furnished,Males or females,Brixton (SW2),None,6 months,['£740 pcm'],Stunning double room - 1 min from Brixton Station,Double room,[740],740.0,SW2
349,Now,Furnished,Males or females,Aldgate East (E1),None,3 months,['£160 pw'],Double Room at Shadwell/Whitechapel Zone 2,Double room,[640],640.0,E1
350,12 Dec 2018,Furnished,No info,Finsbury Park (N4),None,12 months,['£875 pcm (whole property)'],Top floor open plan studio flat N4,Studio flat,[875],875.0,N4
351,Now,Furnished,Males or females,Bayswater (W2),None,None,['£235 pw'],Bayswater-Double Room for Single Use,Double room,[940],940.0,W2
352,Now,No info,No info,London NW8 (NW8),None,6 months,['Potential Buddy Ups'],Stunning two bedroom apartment in St John's Wood,2 bed flat,[],,NW8
353,Now,Furnished,Males or females,Swiss Cottage (NW3),None,6 months,['£650 pcm'],Lovely Room in bright flatshare in Swiss Cottage,Single room,[650],650.0,NW3
354,Now,Furnished,Males or females,Paddington (W9),None,None,"['£265 pw', '£170 pw', '£250 pw']",3 Amazing Rooms next to Paddington !,3 doubles,"[1060, 680, 1000]",913.3333333333334,W9
355,05 Jan 2019,Furnished,Males or females,South Kensington (SW7),None,2 months,"['£305 pw', '£245 pw']",Stunning 2 Double Rooms - Gloucester Road,2 doubles,"[1220, 980]",1100.0,SW7
356,Now,Furnished,Males or females,Shoreditch (E2),None,None,"['£160 pw', '£175 pw', '£195 pw', '£215 pw']",ðBEST ROOMS in e1.....discount Today...25%off,4 doubles,"[640, 700, 780, 860]",745.0,E2
357,10 Dec 2018,Unfurnished,No info,Streatham Hill (SW2),None,6 months,['Potential Buddy Ups'],Newly refurbished bright and spacious 3 bed flat,3 bed flat,[],,SW2
358,08 Dec 2018,Furnished,Males or females,Bethnal Green (E2),None,None,['£150 pw'],Nice Cosy Double Room at Bethnal Green,Double room,[600],600.0,E2
359,15 Dec 2018,Unfurnished,No info,Plumstead (SE18),None,6 months,"['£1,700 pcm (whole property)']",Excellent 4 Bedroom House,4 bed house,[1700],1700.0,SE18
360,Now,Furnished,Male preferred,Clapham Junction (SW11),None,6 months,['£650 pcm'],Room Available Near Clapham Junction,Double room,[650],650.0,SW11
361,Now,Furnished,Males or females,Notting Hill (W10),None,None,['£215 pw'],*Notting Hill/Ladbroke Grove! 1 Stunning Double Be,Double room,[860],860.0,W10
362,Now,Furnished,Males or females,Canary Wharf (E14),None,None,"['£165 pw', '£185 pw', '£195 pw', '£215 pw']",ðBEST ROOMS in e14.....discount Today...25%off,4 doubles,"[660, 740, 780, 860]",760.0,E14
363,Now,Furnished,Males or females,Beckton (E6),None,7 months,['£785 pcm'],Double En-suite  with Kitchenette  - Beckton,Double room,[785],785.0,E6
364,Now,Furnished,Males or females,Earl's Court (SW5),None,3 months,"['£250 pw', '£310 pw']","Earl's Court-amazing rooms available, couples ok",2 doubles,"[1000, 1240]",1120.0,SW5
365,25 Jan 2019,Furnished,Males or females,Farringdon (EC1),None,1 month,['£205 pw'],Beautiful single room - BARBICAN,Single room,[820],820.0,EC1
366,29 Dec 2018,Furnished,Males or females,Canary Wharf (E14),None,6 months,['£980 pcm'],"Large En-Suite, stunning river views! Concierge!",Double room,[980],980.0,E14
367,Now,Furnished,Males or females,Mile End (E3),None,None,"['£158 pw', '£185 pw', '£195 pw', '£215 pw']",ðBEST ROOMS in e3.....discount Today...25%off,4 doubles,"[632, 740, 780, 860]",753.0,E3
368,05 Jan 2019,Furnished,Males or females,London SE1 (SE1),None,3 months,"['£1,200 pcm']",Zone 1 bright double room with fabulous views,Double room,[1200],1200.0,SE1
369,Now,Furnished,Males or females,Marylebone (NW8),None,None,"['£300 pw', '£195 pw', '£240 pw']",3 Luxury Rooms with Gym Near Baker Street !,3 doubles,"[1200, 780, 960]",980.0,NW8
370,10 Dec 2018,Furnished,Males or females,Manor House (N4),None,6 months,['£823 pcm'],Large Double Room 5-10 min Walk Manor House Stn,Double room,[823],823.0,N4
371,Now,Furnished,Males or females,Walthamstow Central (E17),None,3 months,['£160 pw'],A Big Double Room Available Asap,Double room,[640],640.0,E17
372,03 Dec 2018,Furnished,Males or females,Islington (N7),None,6 months,"['£1,050 pcm']",Double room in 2 bed 2 bath flat with gym&concierg,Double room,[1050],1050.0,N7
373,Now,Furnished,Males or females,Harringay (N4),None,6 months,['£155 pw'],+Furnished Room in Haringey W/Living Room & Garden,Double room,[620],620.0,N4
374,Now,No info,Female preferred,Kingsbury (NW9),None,9 months,['£165 pw'],Lovely ensuite double room in female household,Double room,[660],660.0,NW9
375,Now,Furnished,Males or females,Norbury (SW16),None,6 months,"['£485 pcm', '£580 pcm']",50% Deposit Only! Double&Single Rooms - Norbury,Single + double,"[485, 580]",532.5,SW16
376,Now,No info,No info,Finsbury Park (N4),None,None,['Potential Buddy Ups'],4 Bedroom to rent in Finsbury Park,4 bed flat,[],,N4
377,Now,Furnished,Males or females,Bethnal Green (E2),None,None,"['£158 pw', '£175 pw', '£185 pw', '£215 pw']",ðBest Rooms in E2...Discount Today...25%off New,4 doubles,"[632, 700, 740, 860]",733.0,E2
378,Now,Furnished,Males or females,Kilburn (NW2),None,5 months,['£160 pw'],Spacious bedroom in beautiful Kilburn â¤ï¸,Double room,[640],640.0,NW2
379,Now,Furnished,Males or females,Golders Green (NW11),None,None,['£180 pw'],Golders Green ~ DoubleR. with Garden,Double room,[720],720.0,NW11
380,Now,Furnished,Males or females,Canary Wharf (E14),None,6 months,['£630 pw'],Furnished-All Bills Paid-ZoNE2-Free Wifi,Double room,[2520],2520.0,E14
381,01 Dec 2018,Furnished,Males or females,Wapping (E1),12 months,4 months,"['£850 pcm', '£700 pcm', '£695 pcm']",3 Modern Large rooms*Wapping/shadwell*Tower Hill,3 doubles,"[850, 700, 695]",748.3333333333334,E1
382,Now,Furnished,Males or females,Bloomsbury (WC1),None,None,"['£250 pw', '£290 pw']","Bloomsbury-Spacious Double Room, Perfect 4 Couples",Double room,"[1000, 1160]",1080.0,WC1
383,Now,Furnished,Males or females,Old Street (N1),None,None,"['£1,100 pcm']",Warehouse Big Ensuite Bedroom Minutes from Old St,Double room,[1100],1100.0,N1
384,09 Dec 2018,Furnished,Males or females,Wandsworth (SW18),None,12 months,['£105 pw'],Single Room LOW Bills in Wandsworth,Single room,[420],420.0,SW18
385,Now,No info,Female preferred,Holloway (N7),None,5 months,['£155 pw'],Amazing double room in Holloway,Double room,[620],620.0,N7
386,26 Dec 2018,Furnished,Males or females,St John's Wood (NW8),None,3 months,['£230 pw'],Lovely Double  Room Is St Johns Wood Coulple Ok!!,Double room,[920],920.0,NW8
387,Now,Furnished,Males or females,Vauxhall (SW8),None,3 months,"['£220 pw', '£235 pw']","Vauxhall-Double Rooms in  Zone1, Flatshare",2 doubles,"[880, 940]",910.0,SW8
388,Now,Furnished,Males or females,Pimlico (SW1),None,None,['£225 pw'],Pimplico Double Room with Private Patio,Double room,[900],900.0,SW1
389,Now,Furnished,Males or females,London E1 (E1),None,None,['£100 pw'],Single Room in Bethnal Green,Single room,[400],400.0,E1
390,09 Jan 2019,Furnished,Males or females,Tooting Broadway (SW17),None,12 months,['£750 pcm'],double bedroom all bills included,Double room,[750],750.0,SW17
391,03 Dec 2018,Furnished,Males or females,Kentish Town (NW5),None,6 months,['£700 pcm'],Double  Room in a quiet lovely Flat in KentishTown,Double room,[700],700.0,NW5
392,Now,Furnished,Males or females,South Ealing (W5),None,4 months,['£147 pw'],Great Opportunity to Live in West London,Double room,[588],588.0,W5
393,Now,Furnished,Males or females,Barons Court (W6),None,None,"['£260 pw', '£200 pw']",Earl's Court / Couple & Double / 2 Bathrooms,2 doubles,"[1040, 800]",920.0,W6
394,Now,Furnished,Males or females,Russell Square (WC1),None,None,['£325 pw'],Luxury Brand New Property/ Central London,Double room,[1300],1300.0,WC1
395,Now,Furnished,Males or females,Aldgate East (E1),None,3 months,"['£200 pw', '£240 pw', '£250 pw']",Bethnal Green-Double room available-Flatshare,Double room,"[800, 960, 1000]",920.0,E1
396,15 Dec 2018,Furnished,Males or females,Willesden Green (NW10),None,None,['£145 pw'],Single Room Available 15/12! Willesden Area,Double room,[580],580.0,NW10
397,19 Dec 2018,Furnished,Males or females,Beckton (E16),None,3 months,['£153 pw'],"DocklandsHse dbl-Sky-WIFI-cleaner-pkg, nr tube+gym",Double room,[612],612.0,E16
398,01 Dec 2018,Furnished,Males or females,Stockwell (SW4),None,None,['£700 pcm'],Great size room zone 1/2 near tube station.,Double room,[700],700.0,SW4
399,14 Dec 2018,Furnished,Males or females,Clapham (SW4),None,6 months,['£800 pcm'],Double rm for couple or 2 females-Clapham Park@,Double room,[800],800.0,SW4
400,03 Dec 2018,Furnished,Males or females,King's Cross (WC1),None,6 months,"['£320 pw', '£255 pw', '£245 pw', '£285 pw']",Luxury new flat - ENSUITE & 3 double rooms -,4 doubles,"[1280, 1020, 980, 1140]",1105.0,WC1
401,Now,Furnished,Males or females,Shepherds Bush (W12),None,None,['£840 pcm'],Spacious Dbl Room with Balcony - Shepherds Bush,Double room,[840],840.0,W12
402,Now,No info,Males or females,Ladywell (SE13),None,None,['£600 pcm'],Low DEPOSIT double room,Double room,[600],600.0,SE13
403,03 Dec 2018,Furnished,Males or females,Shoreditch (E2),None,None,['£775 pcm'],Lovely Double Room  Shoreditch High St 3rd Dec 18,Double room,[775],775.0,E2
404,03 Dec 2018,Furnished,Males or females,Marylebone (NW1),None,6 months,"['£260 pw', '£240 pw']",2 Stunning Rooms in Marylebone +2 Bathrooms!,2 doubles,"[1040, 960]",1000.0,NW1
405,13 Jan 2019,Furnished,Males or females,Island Gardens (E14),None,6 months,['£699 pcm'],ð±Magnificent Double Room in E14ð±,Double room,[699],699.0,E14
406,Now,Furnished,Males or females,Hammersmith (W6),None,3 months,"['£185 pw', '£200 pw']",Hammersmith- 2 Double Rooms in Cosy Flat,2 doubles,"[740, 800]",770.0,W6
407,01 Dec 2018,Furnished,Males or females,Turnpike Lane (N22),None,None,['£780 pcm'],Large Double  Room Ideal for Couples,Double room,[780],780.0,N22
408,12 Dec 2018,No info,No info,Canada Water (SE16),None,6 months,"['£1,200 pcm (whole property)']",25NS Magnificent 1 Bedroom,1 bed flat,[1200],1200.0,SE16
409,Now,No info,Males or females,London SE15 (SE15),None,None,['£160 pw'],10min to Elephant and Castle Couples Welcome,Double room,[640],640.0,SE15
410,Now,Furnished,Males or females,Euston (NW1),None,3 months,"['£230 pw', '£230 pw', '£240 pw']",Camden Town-Double Rooms in New Property,3 doubles,"[920, 920, 960]",933.3333333333334,NW1
411,01 Dec 2018,Furnished,Males or females,Canary Wharf (E14),None,None,['£185 pw'],Huge Double Room@Canary Wharf/All Saints Stn,Double room,[740],740.0,E14
412,01 Dec 2018,Furnished,Males or females,Hackney (E9),None,None,['£115 pw'],Cosy Single Room Wth Balcony@London Fields/Hackney,Single room,[460],460.0,E9
413,Now,Furnished,Males or females,Mile End (E3),None,None,['£140 pw'],Nice Double Room@Mile End/ Bow  4 Mnts Walk to Stn,Double room,[560],560.0,E3
414,17 Dec 2018,Furnished,Males or females,London E1 (E1),None,None,['£600 pcm'],A Single Room in a 4 Bedroom Terraced House,Single room,[600],600.0,E1
415,07 Dec 2018,Furnished,Males or females,Aldgate East (E1),None,3 months,['£170 pw'],Beautifull Double Room Near Aldgate East Station,Double room,[680],680.0,E1
416,Now,Furnished,Males or females,Fulham (SW6),None,6 months,"['£850 pcm', '£800 pcm', '£800 pcm']",Spacious Rooms in Fulham,3 doubles,"[850, 800, 800]",816.6666666666666,SW6
417,Now,Furnished,Males or females,Canary Wharf (E14),None,None,['£235 pw'],A excellent room with balcony no deposit canary wh,Double room,[940],940.0,E14
418,02 Jan 2019,Furnished,Males or females,Stockwell (SW9),None,3 months,['£150 pw'],Monday to Friday Family House in Conservation Area,Double room,[600],600.0,SW9
419,,No info,No info,South Hampstead (NW6),,,[],Stunning two bedroom apartment in Swiss Cottage,2 bed flat,[],,NW6
420,15 Jan 2019,Furnished,Males or females,Holloway (N7),None,6 months,['£900 pcm'],Top Room Is Coming Available/N7,Double room,[900],900.0,N7
421,12 Dec 2018,Furnished,Males or females,Limehouse Basin (E14),None,6 months,['£870 pcm'],Massive Double Room in Narrow Street,Double room,[870],870.0,E14
422,Now,Furnished,Males or females,Poplar (E14),12 months,6 months,['£690 pcm'],Great Size Double Room in Teviot Street E14,Double room,[690],690.0,E14
423,Now,Furnished,Males or females,Gunnerbury Park (W3),None,6 months,"['£700 pcm', '£850 pcm']",Fantastic en suite double bedroom close to tube,2 doubles,"[700, 850]",775.0,W3
424,Now,Furnished,Males or females,Canary Wharf (E14),None,3 months,['£129 pw'],Clean Double Room with Living Area@Limehouse e14,Double room,[516],516.0,E14
425,Now,No info,Males or females,Bermondsey (SE1),None,3 months,"['£205 pw', '£235 pw', '£240 pw']",London Bridge- Double Room for Single Use,3 doubles,"[820, 940, 960]",906.6666666666666,SE1
426,Now,Furnished,Males or females,Kensal Rise (NW10),None,None,['£600 pcm'],A Single Room/New House/ Kensal Rise/Zone 2,Single room,[600],600.0,NW10
427,Now,Furnished,Males or females,Liverpool Street (E1),None,7 months,['£200 pw'],Beautiful Double Room - Whitechapel,Double room,[800],800.0,E1
428,Now,Furnished,Males or females,Westferry (E14),None,None,['£180 pw'],"Gorgeous Large Double Room in Westferry, E14",Double room,[720],720.0,E14
429,Now,Furnished,Males or females,Camden (NW1),None,None,"['£220 pw', '£220 pw', '£230 pw']",Camden Towm/3 rooms in a new flat,3 doubles,"[880, 880, 920]",893.3333333333334,NW1
430,Now,Furnished,Males or females,Newington Green (N16),12 months,6 months,['£175 pw'],Double room in Newington Green,Double room,[700],700.0,N16
431,Now,Furnished,No info,Willesden Green (NW2),None,3 months,['£215 pw (whole property)'],En-Suit Studio Flat | No Agency Fee | 5Min to Tube,Studio flat,[860],860.0,NW2
432,Now,Furnished,Males or females,London W5 (W5),None,3 months,['£160 pw'],Double Room in Highly Desirable Location,Double room,[640],640.0,W5
433,Now,Furnished,Males or females,East India (E14),None,None,['£180 pw'],"Large Double Room in East India, Canary Wharf",Double room,[720],720.0,E14
434,05 Dec 2018,Furnished,Males or females,Hendon Central (NW4),None,12 months,['£550 pcm'],Large Double Room Close To Hendon Central Station,Double room,[550],550.0,NW4
435,Now,Furnished,Males or females,King's Cross (WC1),None,3 months,"['£245 pw', '£255 pw', '£285 pw', '£320 pw']",King's Cross-New Modern Property-Flatshare,4 doubles,"[980, 1020, 1140, 1280]",1105.0,WC1
436,Now,Furnished,Males or females,South Ealing (W5),None,4 months,['£750 pcm'],4 Minute Walk from South Ealing Tube Station!,Double room,[750],750.0,W5
437,15 Dec 2018,Furnished,Males or females,Hendon Central (NW4),None,12 months,"['£599 pcm', '£599 pcm']",Single Room Furnished 4 Minute Walk To Station,2 doubles,"[599, 599]",599.0,NW4
438,Now,Furnished,Males or females,Finsbury Park (N4),None,3 months,"['£160 pw', '£155 pw', '£155 pw']",ð ð¡ Just Refurbished 2 Bath on Victoria Line,3 doubles,"[640, 620, 620]",626.6666666666666,N4
439,Now,Furnished,Males or females,Plumstead (SE18),None,None,['£725 pcm'],13HS Ensuite Available,Double room,[725],725.0,SE18
440,,No info,No info,London NW3 (NW3),,,[],Large bright studio on Finchley Road,Studio flat,[],,NW3
441,01 Dec 2018,Furnished,Males or females,South Hampstead (NW6),None,2 months,"['£140 pw', '£150 pw']",Double Rooms in Swiss Cottage/Finchley Rd,2 doubles,"[560, 600]",580.0,NW6
442,Now,Furnished,Males or females,New Cross (SE14),None,3 months,['£150 pw'],"Zone 2 Beautiful with Garden,New Cross Gate",Double room,[600],600.0,SE14
443,Now,Furnished,No info,Stratford (E15),None,None,['Potential Buddy Ups'],Straford 3 Bed House Close to Plastow & Straford,3 bed flat,[],,E15
444,01 Jan 2019,Furnished,Males or females,Whitechapel (E1),12 months,6 months,['£820 pcm'],"Stunning, Large Double Room in Lomas Street E1",Double room,[820],820.0,E1
445,Now,Furnished,Males or females,Canary Wharf (E14),None,None,"['£200 pw', '£250 pw']",A No Deposit Double Room Excellent in Canary Wharf,2 doubles,"[800, 1000]",900.0,E14
446,Now,Furnished,Males or females,Islington (N1),None,6 months,['£157 pw'],Room in 4 bed flat close to Old Street/Angel,Single room,[628],628.0,N1
447,10 Dec 2018,Furnished,Males or females,Mile End (E3),None,3 months,['£135 pw'],"Nice Double Room in Mile End Area, All Bills Incl",Double room,[540],540.0,E3
448,Now,Furnished,Males or females,Shepherds Bush (W12),None,3 months,['£170 pw'],Feel Great Sharing This House with Lovely People,Double room,[680],680.0,W12
449,Now,Furnished,Males or females,All Saints (E14),None,6 months,['£650 pcm'],En-Suite Double Room- inc bills!,Double room,[650],650.0,E14
450,Now,Furnished,Males or females,Clapham (SW12),None,6 months,['£230 pw'],*Brand New Double Available Now* | Clapham,Double room,[920],920.0,SW12
451,Now,Furnished,Males or females,North Kensington (W10),None,None,"['£200 pw', '£270 pw', '£270 pw']",âMassive rooms- Kensington W19-Bills included,3 doubles,"[800, 1080, 1080]",986.6666666666666,W10
452,Now,Furnished,Males or females,Vauxhall (SW8),None,3 months,"['£225 pw', '£215 pw']",Brand new flat - 2 double rooms - VAUXHALL,2 doubles,"[900, 860]",880.0,SW8
453,Now,Furnished,Males or females,London Bridge (SE1),None,5 months,"['£185 pw', '£235 pw', '£270 pw']","London Bridge calling, Stunning accommodation.",3 doubles,"[740, 940, 1080]",920.0,SE1
454,10 Dec 2018,Furnished,Males or females,Kensington and Chelsea (SW10),None,10 months,['£225 pw'],Chelsea - Amazing Double Available,Double room,[900],900.0,SW10
455,Now,Furnished,No info,Plaistow (E13),12 months,12 months,"['£1,300 pcm (whole property)']","2 Bedroom House to let in Plaistow,",2 bed flat,[1300],1300.0,E13
456,23 Jan 2019,Unfurnished,No info,East Finchley (N2),None,12 months,['£290 pw (whole property)'],Fantastic 1 bedroom flat - East Finchley,1 bed flat,[1160],1160.0,N2
457,Now,Furnished,Males or females,Goldhawk Road (W12),None,None,"['£230 pw', '£250 pw', '£210 pw', '£200 pw', '£190 pw']",âJust for move in ASAP-Brand new house-W12,5 doubles,"[920, 1000, 840, 800, 760]",864.0,W12
458,Now,Furnished,Males or females,Canary Wharf (E14),None,3 months,['£130 pw'],Must be seen! Double room @Canary Wharf/ E14 7pp,Double room,[520],520.0,E14
459,05 Dec 2018,Furnished,Males or females,East Finchley (N2),None,5 months,['£672 pcm'],Amazing Double Room in Beautiful House,Double room,[672],672.0,N2
460,03 Dec 2018,Furnished,Males or females,Chelsea (SW3),None,1 month,['£205 pw'],New! Massive Double Room in Chelsea ***,Double room,[820],820.0,SW3
461,Now,Furnished,Males or females,West Kensington (W14),None,None,['£650 pcm'],Double Lovely Room in Kensington,Double room,[650],650.0,W14
462,01 Dec 2018,Furnished,Males or females,London SW19 (SW19),None,None,['£110 pw'],Nice Double Room Available in South Wimbledon,Double room,[440],440.0,SW19
463,Now,Furnished,Males or females,Balham (SW17),None,12 months,"['£1,127 pcm', '£320 pw', '£1,191 pcm', '£1,213 pcm', '£1,235 pcm', '£1,213 pcm']",Home sweet home,Double room,"[1127, 1280, 1191, 1213, 1235, 1213]",1209.8333333333333,SW17
464,Now,No info,Female preferred,Palmers Green (N13),None,12 months,['£650 pcm'],Double Bedroom in Palmers Green N13,Double room,[650],650.0,N13
465,Now,No info,No info,Walthamstow (E17),None,None,"['£1,000 pcm (whole property)']",1 bedroom flat on Chingford Road,1 bed flat,[1000],1000.0,E17
466,Now,Furnished,Males or females,Ealing (W13),None,3 months,['£150 pw'],"Spacious double, available now! bills included",Double room,[600],600.0,W13
467,Now,Furnished,Males or females,Hammersmith (W6),None,3 months,['£880 pcm'],"Fantastic double room, perfect for couples!",Double room,[880],880.0,W6
