,Availablility,Furnishing,Gender_requirement,Location,Max_period,Min_period,Price,Short_description,Size,Price_per_month,Average_price_per_month,Postal_code
806,10 Dec 2018,Furnished,Males or females,Burnage (M19),None,None,['£600 pcm'],1 bedroom flat,Single room,[600],600.0,M19
807,Now,Furnished,Males or females,Hulme (M15),8 months,None,['£211 pw'],Studio Appartment Close to Mmu Campus,Double room,[844],844.0,M15
808,Now,Furnished,Female preferred,Levenshulme (M19),None,None,['£450 pcm'],Furnished Room House share - Good transport,Double room,[450],450.0,M19
809,Now,Furnished,Female preferred,Little Hulton (M38),6 months,None,['£300 pcm'],Double room to rent (all bills included).,Double room,[300],300.0,M38
810,Now,Furnished,Males or females,Manchester City Centre (M4),None,6 months,['£750 pcm'],"Modern, spacious double bedroom £750pm inc bills",Double room,[750],750.0,M4
811,10 Dec 2018,Furnished,Males or females,Manchester City Centre (M4),6 months,None,['£450 pcm'],4th floor city centre apartment,Double room,[450],450.0,M4
812,21 Dec 2018,Furnished,Males or females,Wythenshawe (M22),None,6 months,['£500 pcm'],Single / Double room To-Let,Double room,[500],500.0,M22
813,Now,Furnished,Males or females,Manchester City Centre (M4),None,None,['£600 pcm'],Double Bedroom in the Green Quarter,Double room,[600],600.0,M4
814,Now,Furnished,Males or females,Blackley (M9),None,None,"['£60 pw', '£55 pw', '£70 pw']",Fully furnished cosy rooms available,Single + 2 doubles,"[240, 220, 280]",246.66666666666666,M9
815,01 Dec 2018,Furnished,Males or females,Chorlton (M21),None,6 months,['£330 pcm'],Room to rent in Chorlton house share,Double room,[330],330.0,M21
816,Now,Furnished,Males or females,Sale (M33),None,None,['£400 pcm'],"Fully Furnished Double Size Room, All Bills Incl",Double room,[400],400.0,M33
817,Now,Unfurnished,No info,Astley (M29),None,None,['Potential Buddy Ups'],3 bed semi detached house,3 bed house,[],,M29
818,Now,Furnished,Males or females,Ladybarn (M14),None,6 months,"['£580 pcm', '£360 pcm']",House share M14 6YH,Single + double,"[580, 360]",470.0,M14
819,Now,Furnished,Males or females,Moston (M40),None,None,['£125 pw'],Spaciousdoubleroom Available in Semidetached House,Double room,[500],500.0,M40
820,Now,Furnished,Female preferred,Fallowfield (M14),None,6 months,"['£450 pcm', '£375 pcm']",Spacious double bedroom  £450  (bills included),Single + double,"[450, 375]",412.5,M14
821,Now,Furnished,Males or females,Salford (M7),None,None,"['£500 pcm', '£380 pcm']",Double & Single room.Manchester city center & Unis,Single + double,"[500, 380]",440.0,M7
822,02 Jan 2019,Furnished,Males or females,West Didsbury (M20),12 months,12 months,"['£495 pcm', '£495 pcm']",2 bedroom flat in West Didsbury,2 doubles,"[495, 495]",495.0,M20
823,Now,Furnished,Female preferred,Withington (M20),None,12 months,['£360 pcm'],Looking for a nice housemate...,Double room,[360],360.0,M20
824,Now,Furnished,Males or females,West Didsbury (M20),6 months,None,['£525 pcm'],Room Available West Dids,Double room,[525],525.0,M20
825,Now,Furnished,Males or females,Salford (M6),None,None,"['£600 pcm', '£600 pcm', '£300 pcm']",One double bedroom avaliable in a two bedroom flat,3 doubles,"[600, 600, 300]",500.0,M6
826,Now,No info,Males or females,Whalley Range (M16),None,6 months,['£320 pcm'],Blair road project,Double room,[320],320.0,M16
827,Now,Furnished,Female preferred,Prestwich (M25),6 months,2 months,['£480 pcm'],Spare double room to rent with a female student,Double room,[480],480.0,M25
828,Now,Furnished,Males or females,Longsight (M12),6 months,3 months,['£75 pw'],Single Room for Rent All Bill Included £75,Single room,[300],300.0,M12
829,Now,No info,Female preferred,Crumpsall (M8),None,None,['£350 pcm'],Double Room,Double room,[350],350.0,M8
