,Availablility,Furnishing,Gender_requirement,Location,Max_period,Min_period,Price,Short_description,Size,Price_per_month,Average_price_per_month,Postal_code
180,Now,Furnished,Males or females,Liverpool (L7),10 months,4 months,"['£76 pw', '£76 pw', '£76 pw']",Rooms availabe in 5 Bed Student House,2 doubles,"[304, 304, 304]",304.0,L7
181,01 Jan 2019,Furnished,Males or females,Liverpool (L7),None,4 months,"['£75 pw', '£75 pw', '£75 pw']",3 Double Bedrooms Short Term Let for Students,3 doubles,"[300, 300, 300]",300.0,L7
182,01 Jul 2019,Furnished,Males or females,Liverpool (L7),None,12 months,"['£75 pw', '£75 pw', '£75 pw', '£75 pw']",4 Double Bedrooms in a Student House,4 doubles,"[300, 300, 300, 300]",300.0,L7
183,Now,Furnished,Males or females,Liverpool (L20),None,3 months,"['£70 pw', '£80 pw', '£80 pw', '£80 pw']",Bootle Shared house available - All bills included,Single + 3 doubles,"[280, 320, 320, 320]",310.0,L20
184,Now,Furnished,Males or females,Liverpool (L13),None,2 months,"['£84 pw', '£72 pw']",Lovely Victorian Home to share :),2 doubles,"[336, 288]",312.0,L13
185,Now,Furnished,Female preferred,Liverpool (L7),6 months,6 months,['£563 pcm'],Ensuite Double room to rent in Liverpool,Double room,[563],563.0,L7
186,Now,Furnished,Males or females,Liverpool City Centre (L3),None,7 months,['£94 pw'],£500 cash back student accommodation in Marybone,Single room,[376],376.0,L3
187,01 Jan 2019,Furnished,Males or females,Liverpool (L7),None,6 months,"['£105 pw', '£110 pw']",PhD / Post Grad Student rooms from Jan 19,2 doubles,"[420, 440]",430.0,L7
188,01 Dec 2018,Furnished,Males or females,Liverpool City Centre (L6),None,None,"['£280 pcm', '£280 pcm', '£300 pcm', '£300 pcm']",Newly Refurbished L6 High Spec City Centre House,Single + double,"[280, 280, 300, 300]",290.0,L6
189,03 Dec 2018,Furnished,Males or females,Liverpool (L3),None,3 months,['£495 pcm'],Warm en-suite with friendly flat mate,Double room,[495],495.0,L3
190,Now,Furnished,Males or females,Liverpool (L15),None,6 months,['£119 pw'],Fabulous Boutique Hotel Style Luxury House Share,Double room,[476],476.0,L15
191,Now,Furnished,Males or females,Liverpool City Centre (L3),None,None,['£500 pcm'],Double bedroom in 2 bed apartment,Double room,[500],500.0,L3
192,Now,Furnished,Males or females,Liverpool (L15),None,3 months,"['£340 pcm', '£300 pcm', '£300 pcm', '£260 pcm']",2 rooms in Wavertree with cleaner from £260pm,Single + double,"[340, 300, 300, 260]",300.0,L15
193,01 Dec 2018,Furnished,Males or females,Liverpool (L17),None,None,['£375 pcm'],Double bedroom to rent,Double room,[375],375.0,L17
194,Now,Furnished,Males or females,Liverpool (L7),None,6 months,"['£325 pcm', '£325 pcm']",1 Room to rent £325 pm bills included,Double room,"[325, 325]",325.0,L7
195,Now,Furnished,Males or females,Liverpool City Centre (L6),None,8 months,['£225 pcm'],***Newly Renovated Double Room Near City Centre***,Double room,[225],225.0,L6
196,Now,No info,Males or females,Liverpool City Centre (L6),None,5 months,['£51 pw'],***Newly Renovated Double Room Near City Centre***,Double room,[204],204.0,L6
197,Now,Furnished,Males or females,Liverpool (L4),None,4 months,"['£315 pcm', '£300 pcm', '£325 pcm', '£325 pcm', '£370 pcm']",Double Room - Newly Renovated CLEANING Incl,Double room,"[315, 300, 325, 325, 370]",327.0,L4
198,07 Jan 2019,Furnished,Males or females,Liverpool (L8),None,6 months,['£430 pcm'],Modern Large Double Room!! NO DEPOSIT!!!,Double room,[430],430.0,L8
199,Now,Furnished,Males or females,Liverpool (L4),None,4 months,"['£315 pcm', '£300 pcm', '£325 pcm', '£325 pcm', '£370 pcm']",Double Room - Newly Renovated CLEANING Incl,Double room,"[315, 300, 325, 325, 370]",327.0,L4
200,Now,Furnished,Males or females,Liverpool (L15),None,6 months,"['£290 pcm', '£290 pcm', '£290 pcm', '£260 pcm', '£290 pcm', '£290 pcm', '£260 pcm']",Great Value Rooms with Cleaner and All Bills Inc,Double room,"[290, 290, 290, 260, 290, 290, 260]",281.42857142857144,L15
201,Now,Furnished,Males or females,Aigburth (L17),None,6 months,"['£375 pcm', '£350 pcm', '£325 pcm', '£325 pcm', '£325 pcm']",XL Double Room close to Sefton Park!,Double room,"[375, 350, 325, 325, 325]",340.0,L17
202,Now,Furnished,Males or females,Liverpool City Centre (L8),None,None,"['£130 pw', '£130 pw', '£130 pw', '£130 pw', '£130 pw', '£150 pw']",Luxury Ensuite Rooms City Cente,6 doubles,"[520, 520, 520, 520, 520, 600]",533.3333333333334,L8
203,Now,Furnished,Males or females,Liverpool (L7),None,None,"['£325 pcm', '£325 pcm', '£325 pcm', '£325 pcm', '£325 pcm', '£325 pcm', '£325 pcm']",High Quality Ensuite  Double and single Rooms,Single + double,"[325, 325, 325, 325, 325, 325, 325]",325.0,L7
204,Now,Furnished,Males or females,Liverpool (L6),None,None,"['£375 pcm', '£375 pcm', '£375 pcm', '£375 pcm', '£375 pcm', '£375 pcm', '£375 pcm', '£375 pcm', '£375 pcm', '£375 pcm', '£375 pcm']",High quality Ensuite Rooms close to city centre,Double room,"[375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375]",375.0,L6
